params,loss,var,max,min,r2
"{'batch_size': 1000, 'hidden_activation': 'ReLU', 'hidden_layer_1': 192, 'hidden_layer_2': 192, 'hidden_layer_3': 192, 'learning_rate': 0.001, 'num_epochs': 30, 'output_activation': 'Softplus'}",0.19849306344985962,0.002533149905502796,0.786460280418396,0.0005246987566351891,0.028794705867767334
"{'batch_size': 1000, 'hidden_activation': 'ReLU', 'hidden_layer_1': 192, 'hidden_layer_2': 192, 'hidden_layer_3': 192, 'learning_rate': 0.001, 'num_epochs': 30, 'output_activation': 'Exponential'}",0.19854368269443512,0.002461097203195095,0.9527152180671692,0.0003619601484388113,0.02923297882080078
"{'batch_size': 1000, 'hidden_activation': 'ReLU', 'hidden_layer_1': 192, 'hidden_layer_2': 192, 'hidden_layer_3': 96, 'learning_rate': 0.001, 'num_epochs': 30, 'output_activation': 'Softplus'}",0.19870077073574066,0.0026652743108570576,1.071581244468689,0.0004347965004853904,0.029561400413513184
"{'batch_size': 1000, 'hidden_activation': 'ReLU', 'hidden_layer_1': 192, 'hidden_layer_2': 192, 'hidden_layer_3': 96, 'learning_rate': 0.001, 'num_epochs': 30, 'output_activation': 'Exponential'}",0.19861379265785217,0.0021863123401999474,0.996461033821106,0.0006209365674294531,0.02885591983795166
"{'batch_size': 1000, 'hidden_activation': 'ReLU', 'hidden_layer_1': 192, 'hidden_layer_2': 192, 'hidden_layer_3': 34, 'learning_rate': 0.001, 'num_epochs': 30, 'output_activation': 'Softplus'}",0.19829410314559937,0.0026268125511705875,0.7700017690658569,0.0010561707895249128,0.028862059116363525
"{'batch_size': 1000, 'hidden_activation': 'ReLU', 'hidden_layer_1': 192, 'hidden_layer_2': 192, 'hidden_layer_3': 34, 'learning_rate': 0.001, 'num_epochs': 30, 'output_activation': 'Exponential'}",0.19815923273563385,0.0022575678303837776,0.6557326912879944,0.0004152453038841486,0.03012824058532715
"{'batch_size': 1000, 'hidden_activation': 'ReLU', 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 192, 'learning_rate': 0.001, 'num_epochs': 30, 'output_activation': 'Softplus'}",0.19820478558540344,0.001994004473090172,0.583118200302124,0.0012459963327273726,0.0306546688079834
"{'batch_size': 1000, 'hidden_activation': 'ReLU', 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 192, 'learning_rate': 0.001, 'num_epochs': 30, 'output_activation': 'Exponential'}",0.1985418200492859,0.00263101770542562,0.8349583148956299,0.001131360768340528,0.02950364351272583
"{'batch_size': 1000, 'hidden_activation': 'ReLU', 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 96, 'learning_rate': 0.001, 'num_epochs': 30, 'output_activation': 'Softplus'}",0.1981930136680603,0.00243746698834002,1.0498937368392944,0.001101176138035953,0.029123246669769287
"{'batch_size': 1000, 'hidden_activation': 'ReLU', 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 96, 'learning_rate': 0.001, 'num_epochs': 30, 'output_activation': 'Exponential'}",0.19842614233493805,0.0029583938885480165,1.0815552473068237,0.00047754027764312923,0.026838183403015137
"{'batch_size': 1000, 'hidden_activation': 'ReLU', 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 34, 'learning_rate': 0.001, 'num_epochs': 30, 'output_activation': 'Softplus'}",0.19801558554172516,0.0028210608288645744,0.7749550342559814,0.0016706878086552024,0.02927154302597046
"{'batch_size': 1000, 'hidden_activation': 'ReLU', 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 34, 'learning_rate': 0.001, 'num_epochs': 30, 'output_activation': 'Exponential'}",0.19845688343048096,0.003045613644644618,1.2718478441238403,0.000496500579174608,0.027248620986938477
