params,loss,var,max,min,r2
"{'batch_size': 1000, 'hidden_layer_1': 192, 'hidden_layer_2': 192, 'hidden_layer_3': 384, 'learning_rate': 0.001, 'num_epochs': 30}",0.19903267920017242,0.002218039473518729,0.8559726476669312,0.0010225862497463822,0.027599453926086426
"{'batch_size': 1000, 'hidden_layer_1': 192, 'hidden_layer_2': 192, 'hidden_layer_3': 192, 'learning_rate': 0.001, 'num_epochs': 30}",0.1985933929681778,0.0022646570578217506,0.7948484420776367,0.0007250707130879164,0.029327094554901123
"{'batch_size': 1000, 'hidden_layer_1': 192, 'hidden_layer_2': 192, 'hidden_layer_3': 96, 'learning_rate': 0.001, 'num_epochs': 30}",0.19796083867549896,0.0023505669087171555,0.7270958423614502,0.0010288290213793516,0.031039059162139893
"{'batch_size': 1000, 'hidden_layer_1': 192, 'hidden_layer_2': 192, 'hidden_layer_3': 48, 'learning_rate': 0.001, 'num_epochs': 30}",0.19845326244831085,0.00264147506095469,0.7498677968978882,0.0004562528629321605,0.029304981231689453
"{'batch_size': 1000, 'hidden_layer_1': 192, 'hidden_layer_2': 192, 'hidden_layer_3': 24, 'learning_rate': 0.001, 'num_epochs': 30}",0.19851505756378174,0.002510438207536936,0.7671637535095215,0.0012692802120000124,0.02911597490310669
"{'batch_size': 1000, 'hidden_layer_1': 192, 'hidden_layer_2': 96, 'hidden_layer_3': 384, 'learning_rate': 0.001, 'num_epochs': 30}",0.19894173741340637,0.0024994153063744307,0.8661454916000366,0.0005333576700650156,0.02844935655593872
"{'batch_size': 1000, 'hidden_layer_1': 192, 'hidden_layer_2': 96, 'hidden_layer_3': 192, 'learning_rate': 0.001, 'num_epochs': 30}",0.19848738610744476,0.002746982267126441,0.884589672088623,0.0012355106882750988,0.028439342975616455
"{'batch_size': 1000, 'hidden_layer_1': 192, 'hidden_layer_2': 96, 'hidden_layer_3': 96, 'learning_rate': 0.001, 'num_epochs': 30}",0.1985277682542801,0.002404710277915001,0.7445155382156372,0.0004431059642229229,0.028431355953216553
"{'batch_size': 1000, 'hidden_layer_1': 192, 'hidden_layer_2': 96, 'hidden_layer_3': 48, 'learning_rate': 0.001, 'num_epochs': 30}",0.19824543595314026,0.002424269448965788,0.9602493047714233,0.0016100977081805468,0.029246628284454346
"{'batch_size': 1000, 'hidden_layer_1': 192, 'hidden_layer_2': 96, 'hidden_layer_3': 24, 'learning_rate': 0.001, 'num_epochs': 30}",0.1984127312898636,0.0024990274105221033,0.867337703704834,0.0014451451133936644,0.02886754274368286
"{'batch_size': 1000, 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 384, 'learning_rate': 0.001, 'num_epochs': 30}",0.19854424893856049,0.002341093961149454,0.9195393323898315,0.0009622469078749418,0.028963088989257812
"{'batch_size': 1000, 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 192, 'learning_rate': 0.001, 'num_epochs': 30}",0.19808222353458405,0.002694077556952834,1.0190472602844238,0.0004883338697254658,0.03056788444519043
"{'batch_size': 1000, 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 96, 'learning_rate': 0.001, 'num_epochs': 30}",0.19822800159454346,0.002857720945030451,1.3606057167053223,0.000509690202306956,0.027354419231414795
