params,loss,var,max,min,r2
"{'batch_size': 10, 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 24, 'learning_rate': 0.0001, 'num_epochs': 30}",0.19892145693302155,0.0016509711276739836,0.6057190895080566,0.000334346666932106,0.029203832149505615
"{'batch_size': 10, 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 24, 'learning_rate': 0.0005, 'num_epochs': 30}",0.20059816539287567,0.0014830718282610178,0.4662344753742218,2.219010184489889e-07,0.026081383228302002
"{'batch_size': 10, 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 24, 'learning_rate': 0.001, 'num_epochs': 30}",0.20125079154968262,0.0013758387649431825,0.4162132740020752,0.00011270622781012207,0.022850096225738525
"{'batch_size': 10, 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 24, 'learning_rate': 0.005, 'num_epochs': 30}",0.210427924990654,0.0,0.051574401557445526,0.051574401557445526,-3.421306610107422e-05
"{'batch_size': 10, 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 24, 'learning_rate': 0.01, 'num_epochs': 30}",0.21057772636413574,1.2490239314115546e-16,0.048847049474716187,0.048847049474716187,-0.0003019571304321289
"{'batch_size': 100, 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 24, 'learning_rate': 0.0001, 'num_epochs': 30}",0.19836872816085815,0.0022466869559139013,1.0395363569259644,0.0017838882049545646,0.029034137725830078
"{'batch_size': 100, 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 24, 'learning_rate': 0.0005, 'num_epochs': 30}",0.1984088271856308,0.0021959475707262754,0.8618959188461304,0.00034568036790005863,0.03065633773803711
"{'batch_size': 100, 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 24, 'learning_rate': 0.001, 'num_epochs': 30}",0.19876240193843842,0.0018864058656618,0.6023574471473694,0.0005190566298551857,0.02947378158569336
"{'batch_size': 100, 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 24, 'learning_rate': 0.005, 'num_epochs': 30}",0.19938911497592926,0.0014887216966599226,0.5373444557189941,4.3719894165406004e-05,0.027337312698364258
"{'batch_size': 100, 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 24, 'learning_rate': 0.01, 'num_epochs': 30}",0.1993514597415924,0.001571621629409492,0.20740196108818054,8.510790939908475e-05,0.026261091232299805
"{'batch_size': 1000, 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 24, 'learning_rate': 0.0001, 'num_epochs': 30}",0.19810549914836884,0.0017622057348489761,0.7401540279388428,0.00410746643319726,0.03212130069732666
"{'batch_size': 1000, 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 24, 'learning_rate': 0.0005, 'num_epochs': 30}",0.19862881302833557,0.0031034178100526333,0.9524155259132385,0.001034972257912159,0.027492761611938477
"{'batch_size': 1000, 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 24, 'learning_rate': 0.001, 'num_epochs': 30}",0.19826267659664154,0.0026190439239144325,0.7935508489608765,0.0006177611649036407,0.02964574098587036
"{'batch_size': 1000, 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 24, 'learning_rate': 0.005, 'num_epochs': 30}",0.1986277848482132,0.0025432221591472626,0.6317975521087646,0.00021104604820720851,0.028700590133666992
"{'batch_size': 1000, 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 24, 'learning_rate': 0.01, 'num_epochs': 30}",0.19917091727256775,0.0019064940279349685,0.5207569599151611,9.323086123913527e-05,0.028644680976867676
"{'batch_size': 10000, 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 24, 'learning_rate': 0.0001, 'num_epochs': 30}",0.2051541954278946,0.0008468705345876515,0.3343941867351532,0.001418492291122675,0.011524617671966553
"{'batch_size': 10000, 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 24, 'learning_rate': 0.0005, 'num_epochs': 30}",0.20035123825073242,0.0015285596018657088,0.9853932857513428,0.0037042226176708937,0.023821890354156494
"{'batch_size': 10000, 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 24, 'learning_rate': 0.001, 'num_epochs': 30}",0.19953690469264984,0.0017188896890729666,0.8666276931762695,0.0030966708436608315,0.026545345783233643
"{'batch_size': 10000, 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 24, 'learning_rate': 0.005, 'num_epochs': 30}",0.198764830827713,0.0017223680624738336,0.5545899868011475,0.00026307572261430323,0.028783738613128662
"{'batch_size': 10000, 'hidden_layer_1': 192, 'hidden_layer_2': 48, 'hidden_layer_3': 24, 'learning_rate': 0.01, 'num_epochs': 30}",0.19847634434700012,0.0021140524186193943,0.6968514323234558,0.0001706270850263536,0.029918909072875977
